	Villapol_11_DPI_527	Villapol_11_DPI_528	Villapol_11_DPI_529	Villapol_11_DPI_530	Villapol_11_DPI_531	Villapol_11_DPI_532	Villapol_11_DPI_533	Villapol_11_DPI_534	Villapol_11_DPI_535	Villapol_11_DPI_536	Villapol_11_DPI_537	Villapol_11_DPI_538	Villapol_11_DPI_539	Villapol_11_DPI_540	Villapol_11_DPI_541	Villapol_11_DPI_542	Villapol_11_DPI_543	Villapol_11_DPI_544	Villapol_11_DPI_545	Villapol_11_DPI_546	Villapol_11_DPI_547	Villapol_11_DPI_548	Villapol_11_DPI_549	Villapol_11_DPI_550	Villapol_11_DPI_551	Villapol_11_DPI_552	Villapol_11_DPI_553	Villapol_11_DPI_554	Villapol_11_DPI_555	Villapol_11_DPI_556	Villapol_11_DPI_557	Villapol_11_DPI_558	Villapol_11_DPI_559	Villapol_11_DPI_560	Villapol_11_DPI_561	Villapol_11_DPI_562	Villapol_11_DPI_563	Villapol_11_DPI_564	Villapol_11_DPI_565	Villapol_11_DPI_566	Villapol_11_DPI_567	Villapol_11_DPI_568	Villapol_11_DPI_569	Villapol_11_DPI_570	Villapol_11_DPI_571	Villapol_11_DPI_572	Villapol_11_DPI_573	Villapol_11_DPI_574	Villapol_11_DPI_575	Villapol_11_DPI_576	Villapol_11_DPI_577	Villapol_11_DPI_578	Villapol_11_DPI_579	Villapol_11_DPI_580	Villapol_11_DPI_581	Villapol_11_DPI_582	Villapol_11_DPI_583	Villapol_11_DPI_584	Villapol_11_DPI_585	Villapol_11_DPI_586	Villapol_11_DPI_587	Villapol_11_DPI_588	Villapol_11_DPI_589	Villapol_11_DPI_590	Villapol_11_DPI_591	Villapol_11_DPI_592	Villapol_11_DPI_593	Villapol_11_DPI_594	Villapol_11_DPI_595	Villapol_11_DPI_596	Villapol_11_DPI_597	Villapol_11_DPI_598	Villapol_11_DPI_599	Villapol_527_1DPI	Villapol_527_3DPI	Villapol_527_BA	Villapol_528_1DPI	Villapol_528_3DPI	Villapol_528_BA	Villapol_529_1DPI	Villapol_529_3DPI	Villapol_529_BA	Villapol_530_1DPI	Villapol_531_1DPI	Villapol_532_1DPI	Villapol_533_1DPI	Villapol_533_3DPI	Villapol_533_BA	Villapol_534_1DPI	Villapol_535_1DPI	Villapol_535_3DPI	Villapol_535_BA	Villapol_536_1DPI	Villapol_537_1DPI	Villapol_538_1DPI	Villapol_538_3DPI	Villapol_538_BA	Villapol_539_1DPI	Villapol_539_3DPI	Villapol_539_BA	Villapol_540_1DPI	Villapol_540_3DPI	Villapol_540_BA	Villapol_541_1DPI	Villapol_541_3DPI	Villapol_541_BA	Villapol_542_1DPI	Villapol_543_1DPI	Villapol_544_1DPI	Villapol_545_1DPI	Villapol_546_1DPI	Villapol_546_3DPI	Villapol_546_BA	Villapol_547_1DPI	Villapol_547_3DPI	Villapol_547_BA	Villapol_548_1DPI	Villapol_548_3DPI	Villapol_548_BA	Villapol_549_1DPI	Villapol_549_3DPI	Villapol_549_BA	Villapol_550_1DPI	Villapol_550_3DPI	Villapol_550_BA	Villapol_551_1DPI	Villapol_552_1DPI	Villapol_553_1DPI	Villapol_553_3DPI	Villapol_553_BA	Villapol_554_1DPI	Villapol_555_1DPI	Villapol_556_1DPI	Villapol_557_1DPI	Villapol_557_3DPI	Villapol_557_BA	Villapol_558_1DPI	Villapol_559_1DPI	Villapol_560_1DPI	Villapol_560_3DPI	Villapol_560_BA	Villapol_561_1DPI	Villapol_562_1DPI	Villapol_562_3DPI	Villapol_562_BA	Villapol_563_1DPI	Villapol_563_3DPI	Villapol_563_BA	Villapol_564_1DPI	Villapol_565_1DPI	Villapol_566_1DPI	Villapol_567_1DPI	Villapol_568_1DPI	Villapol_569_1DPI	Villapol_570_1DPI	Villapol_571_1DPI	Villapol_572_1DPI	Villapol_573_1DPI	Villapol_574_1DPI	Villapol_575_1DPI	Villapol_576_1DPI	Villapol_577_1DPI	Villapol_578_1DPI	Villapol_579_1DPI	Villapol_580_1DPI	Villapol_581_1DPI	Villapol_582_1DPI	Villapol_583_1DPI	Villapol_584_1DPI	Villapol_585_1DPI	Villapol_586_1DPI	Villapol_587_1DPI	Villapol_587_3DPI	Villapol_587_BA	Villapol_588_1DPI	Villapol_589_1DPI	Villapol_589_3DPI	Villapol_589_BA	Villapol_590_1DPI	Villapol_591_1DPI	Villapol_592_1DPI	Villapol_592_3DPI	Villapol_592_BA	Villapol_593_1DPI	Villapol_593_3DPI	Villapol_593_BA	Villapol_594_1DPI	Villapol_595_1DPI	Villapol_596_1DPI	Villapol_597_1DPI	Villapol_597_3DPI	Villapol_597_BA	Villapol_598_1DPI	Villapol_599_1DPI	Villapol_600_1DPI	Villapol_601_1DPI	Villapol_602_1DPI	Villapol_603_1DPI	Villapol_604_1DPI	Villapol_605_1DPI	Villapol_606_1DPI	Villapol_606_3DPI	Villapol_606_BA	Villapol_607_1DPI	Villapol_608_1DPI	Villapol_609_1DPI	Villapol_610_1DPI	Villapol_611_1DPI	Villapol_612_1DPI	Villapol_612_3DPI	Villapol_612_BA	Villapol_613_1DPI	Villapol_614_1DPI	Villapol_614_3DPI	Villapol_614_BA	Villapol_615_1DPI	Villapol_616_1DPI	Villapol_616_3DPI	Villapol_616_BA	Villapol_617_1DPI	Villapol_618_1DPI	Villapol_618_3DPI	Villapol_618_BA	Villapol_619_1DPI	Villapol_619_3DPI	Villapol_619_BA	Villapol_620_1DPI	Villapol_620_3DPI	Villapol_620_BA	Villapol_621_1DPI	Villapol_621_3DPI	Villapol_621_BA	Villapol_622_1DPI	Villapol_622_3DPI	Villapol_622_BA	Villapol_623_1DPI	Villapol_623_3DPI	Villapol_623_BA	Villapol_624_1DPI	Villapol_624_3DPI	Villapol_624_BA	Villapol_625_1DPI	Villapol_625_3DPI	Villapol_625_BA	Villapol_626_1DPI	Villapol_626_3DPI	Villapol_626_BA	Villapol_627_1DPI	Villapol_627_3DPI	Villapol_627_BA	Villapol_628_1DPI	Villapol_628_3DPI	Villapol_628_BA	Villapol_629_1DPI	Villapol_629_3DPI	Villapol_629_BA	Villapol_630_1DPI	Villapol_630_3DPI	Villapol_630_BA	Villapol_631_1DPI	Villapol_631_3DPI	Villapol_631_BA	Villapol_632_1DPI	Villapol_632_3DPI	Villapol_632_BA	Villapol_633_1DPI	Villapol_633_3DPI	Villapol_633_BA	Villapol_634_1DPI	Villapol_634_3DPI	Villapol_634_BA	Villapol_635_1DPI	Villapol_635_3DPI	Villapol_635_BA	Villapol_636_1DPI	Villapol_636_3DPI	Villapol_636_BA	Villapol_637_1DPI	Villapol_637_3DPI	Villapol_637_BA
f__Tissierellaceae Family	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	9	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
f__UBA1242 Family	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	83	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1613	0	0	7	0	0	0	0	0	757	0	0	62	0	0	0	0	0	0	0	0	0	37	42	0	0	0	3	2	0	0	0	0	4	0	0	4	0	0	0	0	0	0	2863	237	0	0	0	0	0	0	0	0	0	4	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0
f__UBA660 Family	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	2	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	4	0	0	6	0	0	0	0	0	4	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__1XD8-76	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	8	0	0	0	0	4	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	3	0	0	0	0	0	2	0	0	0	0	0	7	0	0	8	0	0	1	0	0	6	0	0	0	0	0	0	0	0	8
g__Acetatifactor	0	0	0	0	65	0	0	0	0	0	0	9	5	0	0	0	0	318	114	0	0	46	58	0	0	0	223	0	0	0	0	0	0	0	0	0	310	0	0	347	0	61	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	13	0	0	6	0	0	0	0	0	0	0	0	5	18	0	0	0	0	68	0	0	330	0	0	62	0	0	0	0	0	15	0	0	0	0	0	0	0	0	31	0	0	19	0	0	49	0	0	54	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	3	0	0	25	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	18	0	0	0	68	0	4	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	144	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	129	0	0	67	0	0	97	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	31	0	0	10	0	0	2	0	0	12	0	0	0
g__Acidovorax_F_589733	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	3	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Acinetobacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Acutalibacter	0	0	0	3	157	0	129	0	0	0	0	20	0	0	0	0	0	15	12	0	0	0	22	0	0	0	13	0	0	0	0	35	7	0	0	0	45	0	0	53	0	0	0	0	0	0	0	0	4	0	79	2	20	0	0	0	9	7	0	0	3	10	0	0	0	0	0	0	5	6	13	0	6	0	0	27	0	0	83	0	0	15	0	0	0	0	0	71	0	0	0	28	0	0	0	0	29	0	0	14	0	0	30	0	0	53	0	0	0	0	0	0	9	0	0	12	0	0	19	0	0	10	0	0	51	0	0	0	0	3	0	0	0	0	0	61	0	0	0	0	14	0	0	0	19	0	0	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	75	0	0	0	222	0	0	0	0	73	0	0	50	0	0	0	0	12	17	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	41	0	0	0	30	0	0	0	0	0	0	0	36	0	0	54	0	0	70	0	0	34	0	0	63	0	0	30	0	0	111	0	0	16	0	0	25	0	0	18	0	0	23	0	0	61	0	0	33	0	0	108	0	0	28	0	0	421	0	0	84	0	0	6	0	7	14	0	4	53
g__Adlercreutzia_A_404199	0	0	0	0	11	221	13	11	21	32	12	0	0	39	5	72	201	7	0	43	162	0	11	31	80	13	33	40	27	7	0	268	182	53	0	0	0	122	0	18	27	65	59	19	17	0	25	0	0	38	0	76	94	277	13	81	289	531	14	0	0	419	93	47	14	39	203	88	17	0	30	0	99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	6	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	7	0	0	24	0	0	0	54	0	0	0	0	0	0	12	0	0	0	0	30	0	0	0	71	0	13	61	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	24	0	0	0	0	10	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	33	17	0	0	0	0	0	0	38	59	0	0	95	19	0	0	0	0	0	0	0	0	0	30	25	0	0	25	0	0	21	0	0	19	0	0	0	0	0	20	0	0	10	0	0	23	0	0	21	0	0	13	0	84	13	0	0	29	0	0	20	0	0	21	0	0	45	0	0	12	0	10	11	0	0	11	0	4	119
g__Adlercreutzia_A_404257	0	0	38	0	53	33	12	0	89	81	82	46	159	54	69	68	116	36	0	138	520	8	12	61	90	10	37	234	113	39	65	648	430	202	35	224	17	39	0	15	17	228	258	113	85	0	135	0	104	255	42	253	121	53	11	40	528	958	78	31	38	175	42	40	12	73	132	53	77	25	54	26	448	0	0	19	0	0	25	0	0	11	0	0	0	0	0	28	0	0	6	45	0	0	0	31	14	0	23	11	0	0	0	0	0	18	0	0	0	0	0	17	13	0	0	13	0	5	0	0	11	22	0	0	7	0	0	0	25	16	0	0	0	0	9	40	0	0	2	15	9	0	0	0	10	0	26	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	53	0	0	0	0	26	4	0	9	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	11	39	0	0	0	0	0	0	0	53	0	0	0	0	10	5	0	26	14	0	0	15	0	0	10	0	0	12	0	32	0	0	22	0	0	31	44	0	0	17	0	0	10	0	0	0	0	0	8	0	0	10	0	0	45	0	0	15	0	0	23	0	0	18	0	0	31
g__Adlercreutzia_A_404260	0	0	487	0	40	0	0	0	13	7	0	0	0	61	0	59	112	8	4	128	173	2	7	20	30	0	0	57	45	0	20	0	0	0	0	0	22	0	0	15	15	26	21	43	40	0	63	0	11	37	13	0	94	34	0	0	497	645	0	0	0	0	0	28	11	61	69	43	8	0	20	30	0	0	0	11	0	0	19	0	0	0	0	0	0	0	0	16	0	0	0	31	0	0	0	0	8	0	0	7	0	9	8	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	6	0	0	18	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	11	0	0	0	13	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	9	0	0	0	4	17	0	0	6	0	0	0	0	8	8	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	6	20	0	0	26	19	0	0	0	0	0	0	0	19	0	0	13	0	0	15	0	0	0	0	0	13	0	0	8	0	0	8	0	0	0	0	0	16	0	0	30	0	0	22	0	0	0	0	0	11	0	0	5	0	0	15	0	0	28	0	0	15	0	0	4	0	7	9	0	0	18
g__Agrobacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Akkermansia	1611	5865	2320	58	646	8	3002	226	0	0	341	177	515	13	29	0	523	122	0	95	638	212	0	798	205	5	0	0	0	0	0	1170	10	38	0	50	258	1914	103	2	40	5	0	31	30	5280	46	9108	0	0	3540	6	1175	809	63	619	14	116	15	0	93	283	17	0	0	15	1693	246	197	84	85	13	0	5074	796	781	4	1755	1118	11	0	50	0	32	0	0	3822	75	0	0	1430	209	0	2	0	2981	170	0	3799	20	0	862	349	0	781	72	0	0	0	0	0	0	116	0	0	159	2	538	20	0	787	265	0	0	251	0	0	0	6584	0	0	13	7	598	8657	0	4670	3845	0	5776	0	890	1013	197	155	4964	4764	782	3569	0	0	0	21	0	0	0	4902	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	948	609	0	0	5283	446	0	0	0	5477	442	0	62	55	0	536	10097	4667	5435	234	0	4208	0	0	0	0	10	0	0	2129	33	0	0	0	696	2685	0	2255	104	3795	0	6633	1043	6678	5576	1770	31	6303	22	1565	0	5903	1694	55	151	3408	138	6112	4963	126	4990	752	0	0	3479	0	0	1189	44	0	735	14	0	3870	29	0	3269	531	5716	3133	779	5953	470	1115	3751	626	2411	3057	3153	138	2802	3188	883	19	2863	832	0	2822	588	0	6724	580	5069	2195	565	7193	2769	942
g__Alistipes_A_871400	0	0	0	0	1502	0	0	0	9	0	0	0	0	0	0	0	0	190	270	0	0	237	109	913	0	0	1646	10	0	0	0	4	0	0	0	0	2448	0	19	1612	14	24	196	0	0	0	18	0	2	0	8	0	0	0	0	0	16	0	0	0	0	60	23	0	0	0	0	0	0	0	0	0	0	228	0	523	0	0	603	4	0	322	0	3	0	0	0	569	0	0	0	435	0	0	0	0	554	0	0	927	0	5	325	0	0	636	0	0	0	0	0	0	304	0	0	481	0	0	135	0	24	292	0	0	416	0	0	0	9	346	0	0	0	0	0	1131	321	0	0	5	564	0	0	0	832	0	14	2128	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	994	0	0	0	1979	0	0	0	66	1173	0	0	584	0	0	0	6	92	418	0	0	0	0	0	0	0	0	0	143	2754	0	9	0	0	0	0	12	1242	0	0	0	1730	0	0	27	80	0	0	0	1552	0	0	1123	0	0	1060	0	0	886	0	0	1082	0	4	759	0	0	1688	0	0	574	11	0	1013	0	0	996	0	0	1329	0	25	1255	0	0	1096	0	0	1054	0	0	909	0	0	1258	0	0	1333	0	0	620	0	0	351	0	0	928
g__Alkalicoccobacillus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Alkaliphilus_B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Anaerocolumna	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	15	0	0	0	0	0	0	0	0	0	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Anaerosalibacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
